"","radius","L.DSP.LE.estimates","L.DSP.LE.pvals","L.DSP.LE.intercepts","L.DSP.LE.rsquareds","L.DSP.SE.estimates","L.DSP.SE.pvals","L.DSP.SE.intercepts","L.DSP.SE.rsquareds","S.DSP.LE.estimates","S.DSP.LE.pvals","S.DSP.SE.estimates","S.DSP.SE.pvals"
"2",10,-0.0343730594155689,0.347786484714273,0.154460749314773,0.0804139688076265,-0.00518425464172866,0.817200770928323,0.00748635004001678,0.00506972998471262,-0.43956043956044,0.135028154028632,-0.423076923076923,0.151600445321061
"3",11,-0.0370740077466299,0.254278461745636,0.139517352140705,0.11624534279076,-0.0101886480290251,0.622793732758154,0.00312048228895761,0.0227529531257998,-0.450549450549451,0.124700833614222,-0.445054945054945,0.129793415795349
"4",12,-0.0553834695747499,0.00305632241124093,0.195015886375373,0.564790688969402,-0.0360605256966452,0.01254290935644,0.0820319383619726,0.446517937548788,-0.763736263736264,0.00360204194163411,-0.752747252747253,0.00438717111438994
"5",13,-0.0503704293420183,0.000291996722905169,0.178048157288811,0.711262560823124,-0.0355934842254986,0.0034451128267861,0.0808043323808845,0.555720711824806,-0.851648351648352,0.000343519844330614,-0.785714285714286,0.00234053510808913
"6",14,-0.048543867726474,8.41706354165907e-05,0.163685019523193,0.768388455725677,-0.0353897253154149,0.000969984409979825,0.0716229591110564,0.643443810384058,-0.884615384615385,0,-0.868131868131868,0.000124577267154327
"7",15,-0.044947120819142,5.57953947956472e-05,0.155494261989798,0.784734494691344,-0.0357767419912291,0.00212029710119637,0.077643539691728,0.591446189842582,-0.906593406593407,0,-0.78021978021978,0.00262061732337991
"8",16,-0.0384820851687347,5.707613280974e-05,0.130392863047291,0.783862314393779,-0.0349506972163555,0.00140623831359067,0.0744956359628388,0.61957418222969,-0.879120879120879,1.90070353134242e-05,-0.813186813186813,0.00123885867187348
"9",17,-0.0256483828580795,0.00805699923260686,0.0761696622854527,0.486318018848972,-0.0258906506818729,0.00197070304587081,0.0317893748510508,0.596595426057345,-0.620879120879121,0.0268669104130434,-0.774725274725275,0.00292337735903988
"10",18,-0.0249324809641218,0.0078128731800072,0.076919410493671,0.488990259157321,-0.0251043401694538,0.00826259864469915,0.0366068034454735,0.484120493096947,-0.626373626373626,0.0252688286928739,-0.615384615384615,0.0285398925978478
"11",19,-0.0237734867613133,0.00611915683181251,0.0779244875584255,0.509781996869602,-0.0261076217828663,0.00321142196824337,0.0583441195987728,0.561061925424527,-0.631868131868132,0.0237434280955737,-0.747252747252747,0.00482316935040432
"12",20,-0.0205241733120223,0.0184416020530414,0.0656344051779151,0.409766116026438,-0.0204496652503279,0.0254907273940045,0.0399162207986667,0.37739465805758,-0.604395604395604,0.0321195118097018,-0.615384615384615,0.0285398925978478
"13",21,-0.0212468106436699,0.00585035196922938,0.0783034614231056,0.513521987560834,-0.0254624470312735,0.00780490609576797,0.0857497025416141,0.489078660188508,-0.593406593406593,0.036025718049201,-0.692307692307692,0.0111471863306333
"14",22,-0.020375871467817,0.00233755286062382,0.0765771271082897,0.584486322944593,-0.0291390030037751,0.00172424666632581,0.104768531701587,0.605842766208766,-0.741758241758242,0.00529007871807324,-0.708791208791209,0.00882856143647145
"15",23,-0.0169658292080504,0.00182346813160946,0.0656224201326667,0.601994345470159,-0.0274173012089828,0.0011744144747124,0.102330306074206,0.631333976188423,-0.730769230769231,0.00632274586634187,-0.736263736263736,0.00578941767568059
"16",24,-0.0144293063883813,0.030677912529722,0.0595646797296859,0.35826013004394,-0.0245440953939321,0.00985693534977367,0.0999780879636602,0.468503351325214,-0.43956043956044,0.135028154028632,-0.703296703296703,0.00955664050787081
"17",25,-0.0148066125578786,0.0182772783515441,0.0607520982785949,0.410641686446631,-0.0272383992015263,0.00665127834229265,0.114936975844025,0.502772212508412,-0.450549450549451,0.124700833614222,-0.714285714285714,0.00814287135806017
"18",26,-0.0116709288304152,0.0288248200634429,0.056498526569272,0.364745570356424,-0.0207869946520881,0.0264452151495734,0.111263279000764,0.373632274196079,-0.461538461538462,0.114935670585034,-0.664835164835165,0.0159954704319689
"19",27,-0.00833771127875587,0.071407084280966,0.0405836727025652,0.26569815933959,-0.0113822383385012,0.123841016375243,0.0630503496937183,0.201544078882186,-0.483516483516484,0.0970370758315922,-0.395604395604396,0.182195776349148
"20",28,-0.00738025539953564,0.0848684141561307,0.0362871376970497,0.245832163684401,-0.00972776468219996,0.180051349925916,0.0523894895998272,0.157055303126101,-0.483516483516484,0.0970370758315922,-0.346153846153846,0.247006583808201
"21",29,-0.0072781216618615,0.0491198960033634,0.0360097430254861,0.307704792370701,-0.0103070809161106,0.134113379828225,0.054825132749804,0.192099404204586,-0.554945054945055,0.0525324710799384,-0.313186813186813,0.297341475651677
"22",30,-0.00652013175381618,0.0681116835636236,0.0326362871094353,0.271084010419931,-0.00743154037448457,0.363090514375513,0.0419295126864876,0.075650871065393,-0.450549450549451,0.124700833614222,-0.258241758241758,0.393835185104886
"23",31,-0.00688413586865814,0.069602485055485,0.033025715871492,0.268618681470224,-0.00899523226384684,0.34382668229628,0.0426643940906014,0.0816889043652381,-0.461538461538462,0.114935670585034,-0.379120879120879,0.202388323788599
"24",32,-0.00680140566807081,0.055642250947769,0.0319962638621967,0.293874337603598,-0.0109117675162491,0.234560333002991,0.046193523700541,0.125714088840079,-0.456043956043956,0.119748804774774,-0.406593406593407,0.169503997837466
"25",33,-0.00596218000965506,0.141710729686865,0.0313150000547531,0.18555489848521,-0.00981348218737623,0.309632801336686,0.0500465308047599,0.0934960656622526,-0.434065934065934,0.140406592788943,-0.357142857142857,0.231501302320309
"26",34,-0.00442820694515697,0.327868828295059,0.0235481052515048,0.0870148899933263,-0.00638370695838174,0.552169510121723,0.0278369982268633,0.0330601858753422,-0.456043956043956,0.119748804774774,-0.351648351648352,0.23917453853646
"27",35,-0.00368416403352092,0.346948700410462,0.0186612984753531,0.0806822124650219,-0.00585727176588208,0.506522968634086,0.0213619136874632,0.041100366311562,-0.401098901098901,0.175773537360781,-0.313186813186813,0.297341475651677
"28",36,-0.00376734822258665,0.296854661377257,0.0186304973194413,0.0983111645215015,-0.0083142487204122,0.30706730240346,0.0278985617128637,0.0944439882574524,-0.445054945054945,0.129793415795349,-0.324175824175824,0.279926505248293
"29",37,-0.00337107709356044,0.386952243660012,0.0147492448776802,0.0687105811604109,-0.00641294839733387,0.494624596033033,0.0103155000117211,0.0433962623247242,-0.445054945054945,0.129793415795349,-0.313186813186813,0.297341475651677
"30",38,-0.00243886146181084,0.550192430815267,0.0102745973810659,0.0333845393309392,-0.00331304707288807,0.742800693870376,-0.00736468805526768,0.010191012643285,-0.445054945054945,0.129793415795349,-0.346153846153846,0.247006583808201
"31",39,-0.00285224139080919,0.397012227581837,0.0118043654583146,0.0659491133657731,-0.00455630260136811,0.565945008233739,-0.00196843148177908,0.0308570051321526,-0.445054945054945,0.129793415795349,-0.384615384615385,0.195502283663209
"32",40,-0.00250594287510031,0.349558726845618,0.00960417557584527,0.079849150918962,-0.00485582099676785,0.426437956940095,-0.00242812500497184,0.0583827535547518,-0.406593406593407,0.169503997837466,-0.340659340659341,0.254997689115259
"33",41,-0.00272533197776081,0.196810045890022,0.0078323624365424,0.146473254975074,-0.0048069453920064,0.334411535798016,-0.0177769743414631,0.0847939460470816,-0.5,0.0849827627638607,-0.335164835164835,0.263148014601437
"34",42,-0.00224710322158004,0.311112710173192,0.00657555794525311,0.0929534382403446,-0.00372331912495365,0.461328486838224,-0.0184736546977594,0.0503046775261025,-0.521978021978022,0.0706348019416138,-0.313186813186813,0.297341475651677
"35",43,-0.00221915830001374,0.308296622340753,0.0063065344154474,0.0939886149503147,-0.00253103320324677,0.656165330343341,-0.0252198156094773,0.0186783228773623,-0.510989010989011,0.0775693109322543,-0.247252747252747,0.414969916573171
"36",44,-0.00233967685900003,0.239581416199132,0.00637743023259205,0.123223265437747,-0.00307680567673108,0.552517915799992,-0.022484137973682,0.0330032421142286,-0.576923076923077,0.0425371857462402,-0.247252747252747,0.414969916573171
"37",45,-0.00229543274527038,0.176104118370158,0.0075673864562151,0.159693698564946,-0.00147368773618406,0.761010986210721,-0.024803678063102,0.00876156971847594,-0.543956043956044,0.0581339946181927,-0.17032967032967,0.578544468706138
"38",46,-0.00223942583599392,0.150729162774208,0.00703640990009605,0.178217449178362,-0.00163267698940291,0.730678959217807,-0.0244262920971508,0.0112081767549581,-0.54945054945055,0.0552810211762193,-0.0989010989010989,0.750730305659702
"39",47,-0.00196618821453074,0.179952782139479,0.00558520627951281,0.157120471438839,0.000232469000551582,0.962248779116371,-0.0354970463293498,0.000213098577151932,-0.456043956043956,0.119748804774774,-0.021978021978022,0.949418436540724
"40",48,-0.0016023219491792,0.269811470955266,0.00519643593578976,0.109336286774964,0.00150063866108592,0.782513600510811,-0.0377298003792578,0.00722262182535646,-0.351648351648352,0.23917453853646,0.0989010989010989,0.750730305659703
"41",49,-0.00197605997857282,0.0962347006246939,0.00674868338165905,0.23121291147628,0.000178341104541425,0.97356337000977,-0.0311217756345485,0.000104469427526962,-0.478021978021978,0.101312257441764,-0.0989010989010989,0.750730305659702
"42",50,-0.00174881099265506,0.191258868331842,0.00567176029265832,0.149872791828671,0.000731874753712825,0.897175749016402,-0.0355060501635146,0.00158744725528755,-0.478021978021978,0.101312257441764,0.0604395604395604,0.848988506886828
